Iteration	Posterior	Likelihood	Prior	r12	r14	r15	r2	r3	r5	r8	r9
55000	0.108761	-18.9348	19.0435	0.01641605	0.001784542	0.0002024932	0.006050107	0.08431155	0.0234838	0.07195105	0.0419165
55500	0.315689	-18.3048	18.6205	0.01481004	0.0002728215	0.0003924954	0.01003809	0.1317547	0.02384246	0.03574982	0.05040993
56000	-3.24129	-19.1064	15.8652	0.07885362	0.001072958	0.00408337	0.001139819	0.08203081	0.01248363	0.1951696	0.0302013
56500	-5.65122	-22.6442	16.993	0.1794921	0.003164105	0.006876903	0.0007155001	0.09523817	0.01717734	0.04313177	0.002847673
57000	-1.43734	-19.7541	18.3168	0.09241687	0.0005741077	0.004916477	0.05495247	0.007805644	0.006472948	0.09801657	0.01729829
57500	-3.62552	-19.5332	15.9077	0.02534591	0.0003416365	0.001107117	0.1023172	0.08711402	0.07466235	0.05098283	0.0610389
58000	-7.01481	-21.5561	14.5413	0.07617074	0.003590649	0.004131652	0.1259757	0.0401791	0.08916081	0.08852442	0.04349358
58500	-2.04915	-19.9244	17.8752	0.08981807	0.0002732871	0.005289586	0.04609965	0.05769243	0.01909724	0.04900834	0.0372538
59000	-5.31576	-19.2475	13.9318	0.2084775	0.0006013311	0.00718358	0.06678604	0.02450824	0.03940462	0.1223847	0.03235943
59500	-6.29515	-19.98	13.6849	0.07689776	0.0005833386	0.0004337684	0.04187799	0.1173924	0.1247956	0.03301984	0.1190488
60000	0.219449	-20.1749	20.3944	0.05421353	0.0001425101	0.002482337	0.00931003	0.06274104	0.03055715	0.01187997	0.007247179
60500	-4.92576	-19.5319	14.6062	0.02974762	0.0001347889	0.001891472	0.1209441	0.04760767	0.01382846	0.1713367	0.0824935
61000	-4.04953	-19.0773	15.0277	0.07478944	0.0007132401	0.003044163	0.08514922	0.01890521	0.1279702	0.1160419	0.02029248
61500	-2.08128	-19.7142	17.6329	0.1445953	0.001203923	0.004922849	0.02824636	0.02348205	0.03238562	0.07537532	0.006435931
62000	-4.64065	-24.1964	19.5558	0.002307814	0.000402747	0.002871907	0.03461727	0.02178043	0.03025023	0.08718723	0.04108692
62500	1.84971	-18.5167	20.3664	0.01940195	0.0001759779	0.001006004	0.00783534	0.06669009	0.005849346	0.04659454	0.03241984
63000	-7.16258	-19.9561	12.7935	0.06393235	0.002158671	0.004636017	0.0507772	0.1128744	0.06786588	0.1790165	0.07735714
63500	-2.57043	-19.6239	17.0535	0.0485138	0.0002576888	0.00402241	0.03869878	0.03474119	0.02619416	0.1356183	0.05757264
64000	-1.70619	-18.6633	16.9571	0.03948095	0.0002359323	0.001996145	0.01285931	0.03701918	0.2177028	0.0198941	0.02124709
64500	-1.51853	-20.5516	19.0331	0.05571101	0.002100811	0.0009587081	0.02937709	0.008564637	0.03434603	0.07940255	0.03617674
65000	-2.35842	-20.3087	17.9503	0.0221156	0.0005820226	0.002306725	0.0141817	0.03199222	0.02594284	0.1484324	0.05522368
65500	-2.5154	-22.111	19.5956	0.017053	0.0005077383	0.002751683	0.04072349	0.01950128	0.03853302	0.09134214	0.008101377
