Iteration	Posterior	Likelihood	Prior	r1	r2
159500	-1.34346	-7.08155	5.73809	0.000790427	0.01187807
160000	-3.99405	-7.08547	3.09142	0.01325457	0.1317478
160500	-4.45046	-7.16341	2.71294	0.01707261	0.1468534
161000	-5.1568	-7.05199	1.89519	0.01625464	0.188559
161500	-3.22469	-7.06751	3.84282	0.009325338	0.09810679
162000	-3.75711	-7.05202	3.29491	0.01004408	0.1247834
162500	-4.78639	-8.40749	3.6211	0.02269601	0.09582206
163000	-3.62003	-7.69779	4.07776	0.01437267	0.08131272
163500	-2.84914	-7.56193	4.71279	0.008997565	0.05493602
164000	-2.46455	-7.44503	4.98047	0.006664444	0.04388506
164500	-3.76593	-7.12421	3.35828	0.007701929	0.1239572
165000	-7.34428	-12.1469	4.80258	0.02024457	0.03919944
165500	-4.59707	-7.21356	2.61649	0.008541632	0.1602069
166000	-2.39857	-7.05092	4.65235	0.005168711	0.06178714
166500	-2.5952	-7.69408	5.09889	0.006695895	0.03793302
167000	-4.60607	-7.26035	2.65428	0.007942247	0.1589168
167500	-1.97247	-7.34875	5.37628	0.003822694	0.02693639
168000	-4.29383	-7.11934	2.82551	0.01547186	0.1428256
168500	-3.28188	-7.0701	3.78821	0.009647211	0.1005154
169000	-1.62926	-7.05509	5.42582	0.001970806	0.02631123
169500	-4.43657	-7.92637	3.4898	0.02060094	0.1044821
170000	-2.41285	-7.05126	4.6384	0.005110644	0.06254234
170500	-4.911	-7.20776	2.29676	0.02024486	0.1644903
171000	-2.09212	-7.08636	4.99424	0.004570768	0.0452904
171500	-4.37106	-8.41755	4.04649	0.001811446	0.09543706
172000	-7.11618	-8.12738	1.01119	0.005631033	0.2433825
172500	-4.72649	-9.37021	4.64372	0.01596768	0.05141933
173000	-7.29251	-8.90322	1.6107	0.04729122	0.1717468
173500	-3.12193	-7.8716	4.74967	0.001687955	0.06040168
174000	-1.84044	-7.64474	5.8043	0.001278513	0.008079723
174500	-3.62668	-7.56687	3.94019	0.01447045	0.08809317
175000	-3.32703	-7.10397	3.77694	0.01052962	0.1001964
175500	-3.28575	-7.06162	3.77587	0.009393862	0.1013859
176000	-3.74362	-8.14644	4.40282	0.0140953	0.06533692
176500	-2.26056	-7.05695	4.79639	0.004259976	0.05549392
177000	-3.53277	-7.07126	3.53849	0.01078132	0.1118672
177500	-2.41434	-7.06682	4.65248	0.004548752	0.0624003
178000	-2.27411	-7.48672	5.21261	0.005267622	0.033675
178500	-3.15574	-7.38267	4.22693	0.01117366	0.07705327
179000	-2.41434	-7.82981	5.41546	0.004593523	0.02420647
179500	-3.82134	-8.45157	4.63023	0.001240252	0.06682148
180000	-2.57946	-7.15003	4.57057	0.007270761	0.06377394
180500	-3.9264	-8.43431	4.50791	0.01430804	0.05986971
181000	-2.51743	-7.26473	4.7473	0.002944874	0.05926337
181500	-2.53816	-7.06809	4.52993	0.006356278	0.06672041
182000	-2.36617	-7.6838	5.31762	0.001059051	0.03263294
182500	-4.7237	-8.13244	3.40874	0.002909996	0.126226
183000	-3.10408	-7.07601	3.97193	0.006640321	0.09433633
183500	-3.8402	-8.05675	4.21655	0.01529703	0.0734485
184000	-3.21026	-7.43799	4.22774	0.01157371	0.07661268
184500	-3.37837	-7.51245	4.13408	0.01272819	0.08014104
185000	-2.02479	-7.08521	5.06041	0.002975675	0.04357692
185500	-3.67486	-7.17693	3.50207	0.01317993	0.1112896
186000	-2.05053	-7.05087	5.00034	0.003865533	0.04569061
186500	-2.61614	-7.45344	4.8373	0.002228128	0.0554799
187000	-2.0654	-7.40062	5.33522	0.00421982	0.0285924
187500	-5.23012	-7.76199	2.53187	0.005116546	0.167863
188000	-4.99678	-8.36803	3.37125	0.02481832	0.1061924
188500	-3.53839	-8.2683	4.72991	0.001296095	0.06178178
189000	-4.13551	-8.06758	3.93207	0.01781281	0.08515675
189500	-1.92566	-7.68773	5.76207	0.00168488	0.009784954
190000	-5.96633	-9.99517	4.02884	0.02580829	0.07232276
190500	-3.21566	-7.16664	3.95097	0.005537655	0.0964869
191000	-1.91015	-7.5905	5.68035	0.002244252	0.01331155
191500	-4.33506	-8.1056	3.77054	0.01945028	0.09159605
192000	-2.81285	-7.36916	4.55631	0.003016315	0.06874135
192500	-3.05363	-7.91606	4.86243	0.009263096	0.04718866
193000	-2.07249	-7.19813	5.12564	0.002238261	0.04105303
193500	-4.54874	-7.36519	2.81645	0.006701213	0.1520495
194000	-8.96995	-9.14301	0.17306	0.06601238	0.2249079
194500	-4.54187	-7.61579	3.07392	0.02109133	0.1247861
195000	-3.25144	-7.52544	4.274	0.003099766	0.08277342
195500	-3.8781	-8.02175	4.14365	0.01573836	0.07665257
196000	-1.7421	-7.31749	5.57539	0.0008881919	0.01991577
196500	-4.00248	-9.84401	5.84153	0.002194236	0.00530257
197000	-2.6919	-7.08348	4.39158	0.005142934	0.07485119
197500	-2.67866	-7.41505	4.73639	0.008118662	0.05463501
198000	-2.24631	-7.51455	5.26825	0.001316635	0.03484433
198500	-4.35566	-7.38491	3.02925	0.0187861	0.1293249
199000	-3.79616	-7.29625	3.50009	0.005677545	0.118891
199500	-2.65647	-7.37892	4.72245	0.00801572	0.05543477
200000	-2.8786	-7.05216	4.17355	0.007230318	0.08366522
200500	-1.94902	-7.05356	5.10454	0.003600673	0.04074553
201000	-3.06644	-7.05305	3.98662	0.007373738	0.09286866
201500	-3.87013	-7.07218	3.20206	0.01229583	0.1271746
202000	-4.84291	-7.94828	3.10537	0.003706236	0.1405987
202500	-1.65816	-7.06618	5.40802	0.00194872	0.02722339
203000	-2.93255	-7.21852	4.28597	0.004286983	0.08098786
203500	-2.81745	-8.00625	5.1888	0.006806192	0.03332716
204000	-3.37463	-7.09093	3.7163	0.007167523	0.1065909
204500	-2.96962	-7.64631	4.67669	0.009644645	0.05609425
205000	-3.5565	-7.5309	3.9744	0.01396219	0.0868909
205500	-3.12776	-8.54035	5.41259	0.005762059	0.02318185
206000	-3.10928	-7.06029	3.95101	0.007139026	0.09488387
206500	-5.52847	-7.06599	1.53752	0.01922379	0.2034732
207000	-4.21967	-7.27059	3.05092	0.006910242	0.1401168
207500	-2.93835	-8.23124	5.29289	0.006372733	0.02855602
208000	-3.91724	-7.33678	3.41954	0.005597612	0.1229984
208500	-3.82019	-9.74677	5.92657	0.001465647	0.001778908
209000	-2.42754	-7.13154	4.704	0.003712846	0.06066031
209500	-2.83602	-7.69982	4.8638	0.008477628	0.0479058
210000	-1.66586	-7.11014	5.44428	0.001623386	0.02573568
210500	-2.63002	-7.22065	4.59063	0.003510857	0.06653071
211000	-3.65503	-7.89262	4.23759	0.0142634	0.07343047
211500	-3.72471	-7.51836	3.79365	0.01511012	0.09478076
212000	-2.50156	-7.08246	4.5809	0.006399454	0.06412862
212500	-3.25435	-7.21601	3.96166	0.01121731	0.09027314
213000	-4.1517	-7.31556	3.16386	0.006301895	0.1350784
213500	-3.37986	-8.06774	4.68788	0.01127622	0.05390283
214000	-3.20702	-7.12356	3.91654	0.006076766	0.09766935
214500	-2.62375	-7.0547	4.43095	0.006362924	0.07166291
215000	-3.24704	-7.18178	3.93475	0.005451056	0.09738484
215500	-2.79949	-7.06657	4.26708	0.005864507	0.08035471
216000	-7.49851	-7.6929	0.19439	0.04344324	0.2464105
216500	-1.40854	-7.02952	5.62098	0.001388127	0.01713631
